epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
106,0.012994790561795234,0.99606,0.6295274292945862,0.8756
107,0.01194151344627142,0.99654,0.6300471946716308,0.875
108,0.012136662116646766,0.99652,0.6326791145324707,0.8747
109,0.011745078952610493,0.99684,0.6329304959297181,0.8749
110,0.010825792251229286,0.9971,0.6341707725524902,0.8751
111,0.010509338631033897,0.99714,0.6341835977554321,0.8752
112,0.011880705730021,0.99672,0.6350910451889038,0.8752
113,0.011948511766791344,0.99632,0.6360377433776856,0.8742
114,0.0112243428170681,0.99674,0.636979963684082,0.8751
115,0.011617059824764728,0.99658,0.6367163852691651,0.8761
116,0.01181733589887619,0.9964,0.6375158957481384,0.8745
117,0.0113835159522295,0.99664,0.6356873666763305,0.8752
118,0.011896451284885406,0.99646,0.6367034266471863,0.8755
119,0.012101480315923691,0.9963,0.6379941446304321,0.875
120,0.010877667516171932,0.99696,0.6390922862052918,0.8742
121,0.010947941442728043,0.99672,0.6387938614845275,0.875
122,0.011165174901485444,0.99662,0.6378981648445129,0.8741
123,0.010259918955564499,0.99704,0.6394674885749817,0.8755
124,0.010774547268450261,0.9969,0.6392216261863708,0.8743
125,0.010752487692832947,0.99704,0.6406388834953308,0.875
126,0.0104623469465971,0.99696,0.6410646255493164,0.8755
127,0.010222212827205658,0.99694,0.6440769314765931,0.8751
128,0.0105472541564703,0.9968,0.6440084003448486,0.8749
129,0.010025280761420726,0.99702,0.6445997247695923,0.875
130,0.010247642522901296,0.99706,0.6436039589881897,0.8758
